Latitude,Longitude,Make,Model,AmateurBuilt,PurposeOfFlight,WeatherCondition,EventMonth,InjuryBool,OccurredNearAirport,EventHour
61.77516,-152.15263,CESSNA,OTHER,0,PERS,Unknown,9,0,1,8
60.805019,-161.78648,PIPER,PA-18-150,0,PERS,Unknown,9,0,0,12
59.646929,-151.49323,CESSNA,A185F,0,BUS,VMC,9,0,1,13
64.267579,-147.68704,HELIO,H-295,0,BUS,Unknown,9,0,0,16
64.650753,-149.83639,OTHER,OTHER,1,PERS,VMC,9,0,0,15
62.946312,-155.52845,PIPER,PA-18-150,0,PERS,Unknown,9,0,0,17
62.863731,-161.77257,PIPER,PA-18-150,0,Unknown,VMC,9,1,0,19
61.486395,-148.34239,TAYLORCRAFT,BC12-D,0,PERS,Unknown,9,0,0,17
64.16,-148.3,CESSNA,185,0,POSI,Unknown,9,0,0,13
58.59667,-135.5156,OTHER,PA 18-150,0,PERS,Unknown,9,1,0,16
61.194619,-151.64589,CESSNA,A185F,0,PERS,Unknown,9,0,0,13
58.889295,-155.62891,OTHER,OTHER,0,POSI,VMC,9,1,0,15
60.494294,-145.48603,BELLANCA,8GCBC,0,PERS,Unknown,9,0,1,19
61.456661,-142.47074,PIPER,PA-18-150,0,PERS,VMC,8,1,1,13
59.866972,-153.11274,CESSNA,U206F,0,Unknown,VMC,8,0,0,11
60.317,-142.093,BEECH,OTHER,0,PERS,IMC,8,1,0,9
64.102592,-145.78693,OTHER,OTHER,0,PERS,VMC,8,1,0,15
61.877966,-151.34587,PIPER,PA-18,0,PERS,VMC,8,0,0,11
61.514717,-149.62074,BELLANCA,7GCBC,0,PERS,Unknown,8,0,0,12
61.106519,-151.26291,PIPER,PA-18-150,0,PERS,Unknown,8,0,0,13
0.0,0.0,CESSNA,U206G,0,BUS,VMC,8,0,0,10
0.0,0.0,CESSNA,180J,0,PERS,VMC,8,0,0,12
62.462453,-152.35866,PIPER,PA-18-150,0,BUS,Unknown,8,1,0,11
59.46,-155.94,PIPER,OTHER,0,PERS,VMC,8,0,0,17
59.20667,-154.96895,CESSNA,185,0,PERS,VMC,8,0,0,9
61.66428,-149.25469,OTHER,OTHER,1,PERS,VMC,8,1,1,14
56.35186,-133.62258,DEHAVILLAND,DHC-2 MK. I(L20A),0,BUS,VMC,7,0,0,15
70.653972,-158.55984,BELL,OTHER,0,BUS,VMC,7,1,0,10
61.589432,-147.47834,AVIAT AIRCRAFT INC,A-1B,0,PERS,Unknown,7,0,0,14
61.531489,-148.66972,PIPER,PA-18,0,INST,VMC,7,1,0,14
59.061431,-160.36614,DEHAVILLAND,DHC-2 MK. I(L20A),0,OWRK,VMC,7,0,0,15
60.442632,-151.1139,AERONCA,OTHER,0,PERS,VMC,7,0,0,15
60.033611,-151.65077,STINSON,108,0,PERS,VMC,7,0,1,14
61.419512,-142.91851,DEHAVILLAND,DHC-2,0,Unknown,Unknown,7,0,0,19
0.0,0.0,MAULE,M-5-210C,0,PERS,VMC,7,0,1,16
57.240995,-153.17977,PIPER,PA-32-300,0,BUS,VMC,7,1,0,14
62.29196,-150.11253,PIPER,PA-22,0,PERS,VMC,7,0,0,17
60.971564,-151.80398,PIPER,PA-18,0,PERS,VMC,7,0,0,11
66.56,-150.81,MAULE,M-4-210C,0,PERS,VMC,7,0,0,10
0.0,0.0,CESSNA,180,0,PERS,VMC,6,0,1,11
0.0,0.0,OTHER,OTHER,0,INST,VMC,6,0,1,16
64.528214,-160.08637,CESSNA,180,0,BUS,VMC,6,1,0,10
61.3,-150.6,PIPER,PA-18-150,0,PERS,VMC,6,0,0,9
64.8128,-147.9207,PIPER,PA-18-150,0,OWRK,VMC,5,0,1,7
62.323988,-154.39636,PIPER,PA-12,0,PERS,VMC,5,0,0,15
61.443797,-148.7007,PIPER,PA-18-150,0,PERS,VMC,5,0,1,16
70.136,-146.29002,PIPER,OTHER,0,BUS,IMC,5,0,1,11
61.170133,-149.95902,PIPER,PA22,0,PERS,VMC,5,0,1,9
60.539931,-150.87026,OTHER,OTHER,1,PERS,VMC,5,0,0,16
60.474797,-151.03835,MAULE,M-7-235,0,PERS,VMC,5,0,1,12
61.774586,-151.7413,ROBINSON HELICOPTER,R44 II,0,BUS,Unknown,5,1,0,11
60.475522,-151.04341,DEHAVILLAND,BEAVER DHC-2 MK.1,0,PERS,VMC,4,0,1,11
61.599631,-149.24824,MAULE,M-5-235C,0,POSI,VMC,4,0,1,8
61.570761,-149.5413,CESSNA,170,0,INST,VMC,4,0,1,15
65.148484,-149.36735,CESSNA,OTHER,0,PERS,VMC,3,0,1,15
59.642988,-151.48437,CESSNA,A185F,0,PERS,VMC,3,0,1,17
61.169,-149.9598,ENSTROM,OTHER,0,PERS,VMC,3,0,1,14
61.414737,-149.50909,CESSNA,U206F,0,BUS,VMC,2,0,1,15
63.330079,-142.96163,PIPER,PA-32-260,0,PERS,VMC,2,0,1,17
60.474864,-151.03964,PIPER,PA-16,0,PERS,VMC,2,0,1,17
60.93916,-164.64124,CESSNA,207,0,BUS,VMC,2,0,1,13
61.132206,-149.94506,PIPER,PA-12,0,PERS,VMC,1,0,1,14
61.332529,-150.07709,TAYLORCRAFT,OTHER,0,PERS,VMC,1,0,0,15
62.00667,-147.30638,PIPER,PA-18-180,0,PERS,VMC,1,1,0,12
60.726361,-151.29916,PIPER,PA-18-150,0,PERS,VMC,1,1,1,14
61.39446,-149.84359,PIPER,PA-22-150,0,INST,VMC,12,0,1,14
61.184965,-149.96448,CHAMPION,7GCBC,0,PERS,VMC,12,0,1,14
61.215814,-149.85578,PIPER,PA-28-140,0,INST,VMC,11,0,1,5
60.711872,-161.68636,CESSNA,207,0,BUS,VMC,11,0,0,11
61.781067,-148.46164,PIPER,PA-18,0,PERS,VMC,11,1,0,11
60.542275,-151.19815,PIPER,PA-22-160,0,INST,VMC,10,0,0,15
60.46441,-145.82206,PIPER,PA-32-260,0,POSI,Unknown,10,1,0,13
64.812908,-147.92137,CESSNA,A185F,0,PERS,VMC,10,1,1,16
61.991057,-151.40254,CESSNA,180A,0,PERS,VMC,9,1,0,12
56.394611,-158.83161,PIPER,PA-18-150,0,OWRK,VMC,9,0,1,10
57.872361,-155.82937,DEHAVILLAND,DHC-2,0,Unknown,VMC,9,1,0,17
62.236555,-141.11793,PIPER,PA-12,0,PERS,VMC,9,0,1,12
61.510553,-150.93687,PIPER,PA-18-150,0,INST,VMC,9,1,1,11
65.934639,-161.09805,CESSNA,U206,0,Unknown,VMC,9,0,0,14
63.425367,-145.74469,PIPER,OTHER,0,PUBF,VMC,9,0,0,13
64.2645,-158.2642,PIPER,PA-18-150,0,PERS,VMC,9,0,0,16
61.218728,-142.89077,CESSNA,180H,0,PERS,VMC,9,1,1,19
64.205228,-147.5605,PIPER,PA-18-150,0,PERS,VMC,9,0,1,20
60.385911,-154.59083,STINSON,OTHER,0,PERS,VMC,9,0,0,18
61.27,-150.15,OTHER,A-1,0,PERS,VMC,8,1,0,16
61.314836,-148.57966,PIPER,PA-18-135,0,PERS,VMC,8,0,0,17
61.637625,-149.30054,OTHER,OTHER,0,PERS,VMC,8,1,1,11
68.690654,-149.08972,ROBINSON HELICOPTER,OTHER,0,OWRK,VMC,8,0,0,10
58.085284,-156.89764,CESSNA,180,0,OWRK,VMC,8,0,1,14
60.879722,-149.95055,TAYLORCRAFT,OTHER,0,PERS,VMC,8,0,1,14
61.757487,-149.0227,CESSNA,180,0,PERS,VMC,8,1,0,14
64.818999,-147.84123,CESSNA,OTHER,0,POSI,VMC,8,1,1,17
68.720123,-146.23407,PIPER,PA-12,0,PERS,VMC,8,1,0,10
61.438207,-148.74734,ROBINSON HELICOPTER COMPANY,R44 II,0,PERS,VMC,8,1,0,15
64.640833,-151.804,OTHER,OTHER,1,PERS,VMC,8,0,0,12
64.574077,-143.24154,PIPER,PA-18-150,0,PERS,VMC,8,0,1,11
61.976369,-141.57128,CESSNA,172,0,PERS,VMC,8,0,0,14
63.14675,-149.13356,CESSNA,180C,0,PERS,VMC,8,0,1,19
59.437017,-154.85829,DEHAVILLAND,OTHER,0,OWRK,VMC,8,0,0,14
60.1191,-154.1938,PIPER,OTHER,0,UNK,VMC,8,0,1,13
64.815354,-147.85665,CESSNA,170B,0,PERS,VMC,7,0,1,17
62.321775,-150.092,DEHAVILLAND,DHC-3,0,Unknown,VMC,7,0,1,12
61.200608,-142.26552,PIPER,PA-18-150,0,PUBS,VMC,7,0,0,11
59.044667,-158.5055,CESSNA,207,0,Unknown,VMC,7,0,1,16
61.215943,-149.84172,OTHER,OTHER,0,PERS,VMC,7,0,1,16
61.38,-152.69,PIPER,PA-18-150,0,PERS,VMC,7,0,0,9
60.165006,-150.3927,OTHER,OTHER,1,PERS,VMC,7,1,0,8
61.043611,-158.33416,MAULE,OTHER,0,PERS,VMC,7,0,1,13
61.179673,-149.96348,DE HAVILLAND,DHC2,0,AOBV,VMC,7,1,1,8
66.91541,-151.52498,DEHAVILLAND,BEAVER DHC-2 MK.1,0,BUS,VMC,7,0,0,12
62.538825,-147.59892,OTHER,F19,0,PERS,VMC,7,0,0,19
60.151142,-152.57982,OTHER,OTHER,0,PERS,VMC,7,0,1,18
59.913512,-154.2461,PIPER,PA-18-150,0,BUS,VMC,7,0,1,15
61.133798,-145.73117,CHAMPION,7EC,0,PERS,VMC,7,1,0,16
60.04746,-147.36492,PIPER,PA-18-150,0,PERS,VMC,7,0,0,16
62.952784,-155.60704,CESSNA,OTHER,0,PERS,VMC,7,0,1,15
61.179709,-151.16119,OTHER,OTHER,0,PERS,VMC,6,0,0,17
64.301207,-149.11473,BELL,UH-1B,0,FIRF,VMC,6,1,1,18
58.127212,-136.31496,CESSNA,208,0,Unknown,VMC,6,0,1,10
59.439361,-154.7681,DEHAVILLAND,OTHER,0,BUS,VMC,6,0,1,17
62.18,-148.38,CHAMPION,7GCBC,0,PERS,VMC,6,0,1,10
61.47,-148.83,PIPER,PA-20,0,PERS,VMC,6,0,0,11
61.65196,-149.38052,OTHER,OTHER,0,INST,VMC,6,1,0,14
61.250719,-149.82003,CESSNA,OTHER,0,PERS,VMC,6,0,1,20
58.45173,-154.0743,CESSNA,U206F,0,AOBV,VMC,6,0,0,10
62.062794,-142.07527,OTHER,OTHER,0,BUS,VMC,6,0,1,22
