feature,coefficient
city_(N) SKWENTNA,-0.004925634555376883
city_100MI S.KNG SLM,-0.004925634555376882
city_11NM EAST OF SI,0.03334806126849104
city_18NM ESE KETCHI,-0.0049256345553768816
city_20 ESE NORTH PO,-0.0049256345553768816
city_27 E SAGWON,-0.0049256345553768816
city_35 W. OF KETCHI,-0.0049256345553768816
city_38 SE BARROW,-0.004925634555376882
city_40 SE BETTLES,0.03334806126849105
city_40 W OF CLEAR,0.033348061268491054
city_42NM ESE OF YAK,-0.00492563455537688
city_44 NW FAIRBANKS,-0.0049256345553768816
city_44MI NW MCCARTH,-0.004925634555376881
city_45 NW ANCHORAGE,-0.004925634555376883
city_50 MI SW FAIRBA,-0.004925634555376881
city_51 NM ESE YAKUT,-0.00492563455537688
city_60 E OF BETHEL,0.03334806126849107
city_65 MI.ENE OF MC,-0.004925634555376881
city_6NM SSE WRANGEL,-0.0049256345553768816
city_70 NW ANCHORAGE,-0.004925634555376883
city_ADMIRALTY ISL,-0.004925634555376881
city_AIALAK BAY,0.033348061268491054
city_AKHIOK,0.018400821367415363
city_AKIACHAK,-0.014782888764463072
city_AKIAK,-0.00853231282675
city_AKUTAN,-0.004925634555376883
city_ALAGNAK RIVER,-0.006966251696681874
city_ALAKANUK,-0.004925634555376881
city_ALAKTAK,-0.0049256345553768816
city_ALDER CREEK,-0.004925634555376882
city_ALEKNAGIK,0.03680622955003681
city_ALEXANDER,0.0
city_ALEXANDER CREEK,-0.013936735496863277
city_ALEXANDER LAKE,-0.009852764869714621
city_ALEXANDER LODGE,-0.004925634555376882
city_ALEXANDER RIVER,-0.008532312826750002
city_ALLAKAKET,-0.0049256345553768816
city_ALMAUTLAK,0.033348061268491054
city_AMBER BAY,-0.0049256345553768816
city_AMBLER,0.00404437756457276
city_AMERICAN RIVER,-0.00492563455537688
city_AMITCHIAK LAKE,0.03334806126849106
city_AMOS LAKES,0.0
city_ANAKTUVUK,0.0
city_ANAKTUVUK PASS,-0.013035962307375974
city_ANCHOR POINT,0.014277691342691556
city_ANCHORGE,-0.00492563455537688
city_ANCORAGE,-0.004925634555376883
city_ANDERSON,-0.00492563455537688
city_ANGOON,0.026023774455062453
city_ANIAK,-0.005852077159019421
city_ANITA BAY,-0.0049256345553768816
city_ANNETTE BAY,-0.00492563455537688
city_ANVIK,-0.00985276486971463
city_ARCTIC VILLAGE,0.0032107736442733253
city_ARTIC VILLAGE,-0.0049256345553768816
city_ASIGIYUKPAK,-0.004925634555376881
city_ASPEN CREEK,-0.004925634555376882
city_ATIGAN PASS,-0.006966251696681871
city_ATIGUN PASS,0.024000828375707557
city_ATMAUTLUAK,-0.01303596230737598
city_ATQASUK,-0.00853231282675001
city_BAINBRIDGE,-0.004925634555376881
city_BARROW,0.010470560583546052
city_BARTER ISLAND,-0.011016283597647772
city_BEAR CREEK,-0.0069662516966818785
city_BEAR CREEK NO.1,-0.004925634555376882
city_BEAR VALLEY,-0.004925634555376882
city_BEAUFORT SEA,-0.00492563455537688
city_BEAVER,0.03334806126849107
city_BEAVER CREEK,-0.008532312826749999
city_BEAVER VILLAGE,-0.004925634555376882
