,p_values
weather_condition_VMC,0.0
occurred_near_airport,1e-06
event_time_of_day_Night,0.0001
purpose_of_flight_POSI,0.002188
const,0.023793
aircraft_family_PIPER PA-22 TRI-PACER,0.02681
city_KING SALMON,0.037109
aircraft_family_PIPER PA-20 PACER,0.052539
aircraft_family_CESSNA 140,0.06173
purpose_of_flight_OWRK,0.074893
aircraft_family_MAULE M-4,0.076749
aircraft_family_HELIO COURIER,0.079046
city_HEALY,0.086038
city_EGEGIK,0.08615
city_FAIRBANKS,0.089019
city_NAKNEK,0.089146
amateur_built,0.099114
aircraft_family_CESSNA 180 SKYWAGON,0.101104
aircraft_family_PIPER PA-18 SUPER CUB,0.112436
event_month_3,0.11513
purpose_of_flight_PUBF,0.116744
city_TOK,0.118366
aircraft_family_CESSNA 172 SKYHAWK,0.121967
aircraft_family_CHAMPION/ BELLANCA/ AMERICAN CHAMPION SCOUT,0.12248
aircraft_family_CESSNA 185 SKYWAGON,0.130578
city_NENANA,0.137473
purpose_of_flight_PERS,0.147751
city_TALKEETNA,0.153875
purpose_of_flight_PUBU,0.157479
city_ANCHORAGE,0.157747
city_DEADHORSE,0.16208
city_BELUGA,0.162144
city_PALMER,0.16629
city_IGIUGIG,0.172493
city_CORDOVA,0.173812
aircraft_family_CESSNA 182 SKYLANE,0.180731
aircraft_family_CESSNA 170,0.1808
city_NORTHWAY,0.191704
city_TOGIAK,0.194946
city_PILOT POINT,0.195143
city_BETHEL,0.196704
purpose_of_flight_INST,0.199741
city_DELTA JUNCTION,0.205242
event_month_6,0.216604
aircraft_family_TAYLORCRAFT B,0.219484
aircraft_family_PIPER J-3 CUB,0.228256
aircraft_family_AERONCA 7AC CHAMPION,0.233709
aircraft_family_CESSNA 206 STATIONAIR,0.246113
aircraft_family_MAULE M-5,0.249361
city_UNCOMMON CITY,0.253669
city_NIKISKI,0.258708
event_time_of_day_Morning,0.261742
city_TYONEK,0.273089
city_QUINHAGAK,0.275901
aircraft_family_BEECHCRAFT 1900,0.280186
city_KOTZEBUE,0.286049
aircraft_family_DOUGLAS DC-6,0.295913
city_SPARREVOHN,0.304687
aircraft_family_PIPER PA-12 SUPER CRUISER,0.316346
city_SKWENTNA,0.318213
city_NIKOLAI,0.322719
city_DILLINGHAM,0.330989
scheduled_NSCH,0.332847
city_KASILOF,0.335793
aircraft_family_GRUMMAN G-44 WIDGEON,0.33749
city_BETTLES,0.34321
city_GIRDWOOD,0.352706
city_PAXSON,0.353989
aircraft_family_CESSNA 207,0.358447
purpose_of_flight_EXEC,0.359208
aircraft_family_PIPER PA-11 CUB SPECIAL,0.363609
aircraft_family_CESSNA 152,0.369115
city_NORTH POLE,0.371305
aircraft_family_UNCOMMON FAMILY,0.376557
city_VALDEZ,0.377731
city_ARCTIC VILLAGE,0.381502
city_CHICKALOON,0.394024
city_SITKA,0.404181
city_BIG LAKE,0.405038
city_STERLING,0.414065
purpose_of_flight_PUBS,0.423577
aircraft_family_DE HAVILLAND DHC-2 BEAVER,0.43372
event_time_of_day_Evening,0.435859
aircraft_family_DE HAVILLAND DHC-6 TWIN OTTER,0.437621
aircraft_family_PIPER PA-32 CHEROKEE SIX,0.438405
event_month_7,0.442268
purpose_of_flight_FIRF,0.444518
aircraft_family_CESSNA 402,0.446057
aircraft_family_HUGHES 369D,0.450061
city_CANTWELL,0.454466
aircraft_family_PIPER PA-16 CLIPPER,0.4569
city_WRANGELL,0.46356
city_MCGRATH,0.471012
city_HOPE,0.47263
