,p_value
weather_condition_VMC,0.0
occurred_near_airport,0.0
event_hour_12,0.0005
event_hour_13,0.0024
event_hour_18,0.0031
event_hour_16,0.0031
event_hour_17,0.0035
event_hour_14,0.0074
event_hour_11,0.0076
event_hour_20,0.0091
event_hour_7,0.0092
event_hour_10,0.0112
event_hour_9,0.0116
event_hour_8,0.0136
event_hour_15,0.0153
event_hour_19,0.0207
event_hour_21,0.0309
event_hour_4,0.0406
event_hour_22,0.043
event_month_3,0.0615
model_150F,0.108
event_hour_6,0.1157
model_182B,0.1198
event_hour_5,0.122
event_hour_23,0.1399
model_UH-1B,0.1427
model_PA-28-180,0.1579
model_F-19,0.1605
model_P206C,0.1869
model_PA 18A 150,0.1993
model_150L,0.2018
model_G-21A,0.2053
model_M-7,0.2392
model_PA-31-310,0.2524
model_150D,0.2582
model_7GCBC,0.2601
model_M-4-210C,0.2607
model_DC-3,0.2661
model_M-5,0.2684
model_177RG,0.2707
model_M-7-235,0.2809
model_8GCBC,0.2823
model_BEAVER DHC-2,0.2864
model_210,0.2992
model_214B-1,0.3006
event_hour_1,0.3134
model_108-3,0.32
model_BC-12D,0.3286
model_177,0.3465
event_month_7,0.3548
model_150H,0.3595
model_185F,0.363
model_FH-1100,0.3822
model_PA-32R-300,0.3868
model_310,0.3969
event_hour_3,0.4135
model_PA-18A-150,0.4196
model_208B,0.4236
model_172N,0.4385
model_A185E,0.4512
model_H-295,0.4517
model_402,0.461
event_month_6,0.4706
model_PA18,0.4735
model_18,0.481
model_DHC-3,0.4867
model_PA-18-160,0.4906
model_U206E,0.4918
scheduled_UNK,0.492
event_month_4,0.4933
model_PA-32R-301,0.4951
model_182C,0.5001
model_182P,0.5014
model_DHC 2,0.5082
scheduled_SCHD,0.5109
event_month_8,0.5115
model_M-5-235C,0.5215
model_PA-32-260,0.5268
model_206G,0.5318
model_A185F,0.5391
latitude,0.557
model_PA 18-150,0.5584
model_PA-20,0.5632
model_T207,0.5834
model_S-1B2,0.5945
model_PA-38-112,0.5991
model_PA-18A,0.6047
model_U206G,0.6049
model_J3C-65,0.6054
model_175,0.621
model_M-4-220C,0.6304
event_month_2,0.6367
model_212,0.6383
amateur_built,0.639
model_PA-22-150,0.6392
model_AS350,0.6434
model_206B,0.6452
model_PA-31-350,0.6456
model_182,0.6512
model_15AC,0.6524
model_108-2,0.6573
model_U206,0.6574
model_PA-28-140,0.6654
event_month_11,0.6695
model_PA 12,0.6714
model_208,0.6728
model_7AC,0.679
model_PA-22,0.681
model_PA-11,0.686
model_PA-32-300,0.6871
model_PA-32,0.6889
event_month_9,0.7062
model_185A,0.7106
model_C-207,0.7161
model_180K,0.7235
event_month_12,0.7282
model_206L-1,0.7284
weather_condition_Unknown,0.7423
model_180H,0.7465
model_PA32R,0.7657
longitude,0.7697
model_DHC-2,0.771
model_PA-18-150,0.776
model_402C,0.7818
model_150M,0.7829
model_M-6-235,0.7869
model_206,0.802
model_207A,0.8071
model_PA-16,0.817
model_PA-31,0.8182
model_500D,0.8191
model_GLASTAR,0.8249
model_185E,0.8263
model_170A,0.827
model_150,0.8281
model_J3,0.8377
event_hour_2,0.8398
event_month_5,0.8432
model_7EC,0.848
model_180A,0.8561
model_UNCOMMON MODEL,0.8563
model_172,0.8576
model_U206F,0.8643
model_8A,0.8677
model_PA-32-301,0.8702
model_PA-18-135,0.8747
model_PA-12,0.8854
model_180J,0.8856
model_369D,0.8906
model_BN-2A,0.8952
model_152,0.9009
model_DHC-3T,0.9048
model_PA-12-150,0.9062
model_A185,0.9068
model_BC12-D,0.9171
model_207,0.9229
model_PA-28,0.9236
model_PA-14,0.9242
model_170,0.9267
model_402B,0.9347
model_BEAVER DHC-2 MK.1,0.9402
model_170B,0.9484
model_185,0.9552
