,p_values
weather_condition_VMC,0.0
occurred_near_airport,2e-06
event_hour_12,0.000194
const,0.000554
event_hour_13,0.000966
event_hour_17,0.001075
event_hour_16,0.001541
event_hour_11,0.001894
purpose_of_flight_POSI,0.002334
event_hour_14,0.00246
event_hour_18,0.002528
event_hour_20,0.002843
event_hour_7,0.003358
event_hour_8,0.004384
event_hour_9,0.005285
event_hour_15,0.005742
event_hour_10,0.006276
event_hour_19,0.022706
aircraft_family_PIPER PA-22 TRI-PACER,0.024871
event_hour_21,0.038007
event_hour_22,0.042758
city_KING SALMON,0.044241
aircraft_family_CESSNA 140,0.044898
aircraft_family_PIPER PA-20 PACER,0.053207
aircraft_family_HELIO COURIER,0.069789
city_EGEGIK,0.073186
city_FAIRBANKS,0.074598
event_hour_6,0.075025
purpose_of_flight_OWRK,0.07511
event_hour_5,0.076067
city_HEALY,0.08689
aircraft_family_CESSNA 180 SKYWAGON,0.088031
event_hour_4,0.090315
city_NAKNEK,0.090742
amateur_built,0.09133
aircraft_family_MAULE M-4,0.097892
aircraft_family_PIPER PA-18 SUPER CUB,0.102023
event_month_3,0.112221
city_TOK,0.114263
aircraft_family_CHAMPION/ BELLANCA/ AMERICAN CHAMPION SCOUT,0.11514
aircraft_family_CESSNA 172 SKYHAWK,0.11716
aircraft_family_CESSNA 185 SKYWAGON,0.121195
city_NENANA,0.132181
city_PALMER,0.138459
city_ANCHORAGE,0.144246
purpose_of_flight_PUBF,0.146495
city_DEADHORSE,0.146562
purpose_of_flight_PUBU,0.155651
city_TALKEETNA,0.15573
aircraft_family_CESSNA 182 SKYLANE,0.156228
aircraft_family_CESSNA 170,0.158898
city_BELUGA,0.161581
event_hour_23,0.168245
purpose_of_flight_PERS,0.172014
city_IGIUGIG,0.190533
city_PILOT POINT,0.191869
city_TOGIAK,0.198769
event_month_6,0.206426
city_CORDOVA,0.207423
event_hour_3,0.207778
aircraft_family_TAYLORCRAFT B,0.209798
city_DELTA JUNCTION,0.210141
city_NORTHWAY,0.210165
purpose_of_flight_INST,0.214186
city_BETHEL,0.21563
city_TYONEK,0.217152
aircraft_family_MAULE M-5,0.228786
