,p_values
weather_condition_VMC,0.0
occurred_near_airport,1e-06
purpose_of_flight_POSI,0.002098
const,0.014155
aircraft_family_PIPER PA-22 TRI-PACER,0.029917
city_KING SALMON,0.038115
aircraft_family_PIPER PA-20 PACER,0.058117
aircraft_family_CESSNA 140,0.064626
aircraft_family_MAULE M-4,0.075263
aircraft_family_HELIO COURIER,0.07851
city_HEALY,0.08866
aircraft_family_CESSNA 180 SKYWAGON,0.101404
purpose_of_flight_PUBF,0.103875
purpose_of_flight_OWRK,0.104596
city_EGEGIK,0.106037
city_FAIRBANKS,0.106508
event_month_3,0.107131
aircraft_family_PIPER PA-18 SUPER CUB,0.116945
city_NAKNEK,0.117869
city_TOK,0.118317
aircraft_family_CHAMPION/ BELLANCA/ AMERICAN CHAMPION SCOUT,0.123264
amateur_built,0.12931
purpose_of_flight_PUBU,0.136603
aircraft_family_CESSNA 172 SKYHAWK,0.137265
aircraft_family_CESSNA 185 SKYWAGON,0.138591
purpose_of_flight_PERS,0.1454
city_NENANA,0.151116
event_am_pm_PM,0.152759
purpose_of_flight_INST,0.161471
city_DEADHORSE,0.165659
city_BELUGA,0.168534
city_PALMER,0.173017
city_TALKEETNA,0.173492
city_CORDOVA,0.177932
city_NORTHWAY,0.184817
city_ANCHORAGE,0.189456
city_IGIUGIG,0.189744
aircraft_family_CESSNA 170,0.193946
aircraft_family_CESSNA 182 SKYLANE,0.194482
city_PILOT POINT,0.202075
city_TOGIAK,0.203346
city_DELTA JUNCTION,0.211974
city_BETHEL,0.212231
aircraft_family_AERONCA 7AC CHAMPION,0.220273
aircraft_family_TAYLORCRAFT B,0.229229
aircraft_family_PIPER J-3 CUB,0.241207
event_month_6,0.246242
aircraft_family_MAULE M-5,0.255935
aircraft_family_CESSNA 206 STATIONAIR,0.260468
aircraft_family_DOUGLAS DC-6,0.270195
scheduled_NSCH,0.27615
city_UNCOMMON CITY,0.281203
city_NIKISKI,0.287717
city_QUINHAGAK,0.309534
city_SKWENTNA,0.310533
city_KOTZEBUE,0.314315
aircraft_family_GRUMMAN G-44 WIDGEON,0.316521
aircraft_family_PIPER PA-12 SUPER CRUISER,0.318407
city_NIKOLAI,0.32524
city_TYONEK,0.330278
city_SPARREVOHN,0.335654
city_KASILOF,0.340326
aircraft_family_CESSNA 207,0.348956
aircraft_family_BEECHCRAFT 1900,0.353106
aircraft_family_PIPER PA-11 CUB SPECIAL,0.354141
city_GIRDWOOD,0.356102
city_DILLINGHAM,0.365372
city_VALDEZ,0.370851
city_ARCTIC VILLAGE,0.371876
city_BETTLES,0.381204
event_month_7,0.382478
purpose_of_flight_EXEC,0.388175
city_CHICKALOON,0.39043
purpose_of_flight_PUBS,0.390795
city_BIG LAKE,0.40189
aircraft_family_UNCOMMON FAMILY,0.402947
city_PAXSON,0.403105
city_SITKA,0.42059
scheduled_SCHD,0.42267
city_STERLING,0.423745
aircraft_family_CESSNA 152,0.427874
aircraft_family_DE HAVILLAND DHC-2 BEAVER,0.434373
aircraft_family_PIPER PA-16 CLIPPER,0.438468
aircraft_family_HUGHES 369D,0.440876
aircraft_family_PIPER PA-32 CHEROKEE SIX,0.441147
city_NORTH POLE,0.443596
city_NUIQSUT,0.450264
city_CANTWELL,0.457802
city_WRANGELL,0.460208
city_YAKUTAT,0.466168
purpose_of_flight_FERY,0.473567
aircraft_family_CESSNA 402,0.474691
purpose_of_flight_FIRF,0.483258
aircraft_family_PIPER PA-14 FAMILY CRUISER,0.484946
