feature,coefficient
aircraft_family_AERONCA 15AC SEDAN,-0.012080145597779311
aircraft_family_AERONCA 7AC CHAMPION,-0.018444169692698062
aircraft_family_BEECHCRAFT 1900,0.02371226511835661
aircraft_family_BELL 206,0.001995190088672353
aircraft_family_CESSNA 140,-0.028507212724553695
aircraft_family_CESSNA 150,0.0007896100918509725
aircraft_family_CESSNA 152,-0.019082683911112834
aircraft_family_CESSNA 170,-0.03192817745913212
aircraft_family_CESSNA 172 SKYHAWK,0.00566520147065383
aircraft_family_CESSNA 175 SKYLARK,-0.01914136509064265
aircraft_family_CESSNA 177 CARDINAL,0.009185055152820892
aircraft_family_CESSNA 180 SKYWAGON,-0.028787091086607684
aircraft_family_CESSNA 182 SKYLANE,-0.010140329041305574
aircraft_family_CESSNA 185 SKYWAGON,-0.014969185682309141
aircraft_family_CESSNA 206 STATIONAIR,0.014009264701261143
aircraft_family_CESSNA 207,0.013526725355099776
aircraft_family_CESSNA 208 CARAVAN,0.03683991971567039
aircraft_family_CESSNA 402,0.027497703105056552
aircraft_family_CHAMPION/ BELLANCA/ AMERICAN CHAMPION CITABRIA,0.005624494420113533
aircraft_family_CHAMPION/ BELLANCA/ AMERICAN CHAMPION SCOUT,-0.02355781975725241
aircraft_family_DE HAVILLAND DHC-2 BEAVER,0.05206380216789152
aircraft_family_DE HAVILLAND DHC-3 OTTER,0.00925616634976644
aircraft_family_DE HAVILLAND DHC-6 TWIN OTTER,-0.01844416969269809
aircraft_family_DOUGLAS DC-3,-0.016174209942424474
aircraft_family_DOUGLAS DC-6,0.0015588347394764703
aircraft_family_GRUMMAN G-44 WIDGEON,0.012717375430293451
aircraft_family_HELIO COURIER,-0.011840529778357404
aircraft_family_HUGHES 369D,-0.008519195705923084
aircraft_family_LUSCOMBE 8,-0.001543578653043509
aircraft_family_MAULE M-4,0.006719048203113032
aircraft_family_MAULE M-5,0.02178606383171145
aircraft_family_MAULE M-6,0.0061334097329408125
aircraft_family_MAULE M-7,0.0022052351746902517
aircraft_family_PIPER J-3 CUB,-0.006757019047825708
aircraft_family_PIPER J-5 CUB CRUISER,-0.0198141741681486
aircraft_family_PIPER PA-11 CUB SPECIAL,0.0010301981684817715
aircraft_family_PIPER PA-12 SUPER CRUISER,-0.006569877469901824
aircraft_family_PIPER PA-14 FAMILY CRUISER,-0.008380492879526835
aircraft_family_PIPER PA-16 CLIPPER,-0.016174209942424488
aircraft_family_PIPER PA-20 PACER,-0.030476098538456693
aircraft_family_PIPER PA-22 TRI-PACER,-0.03334602906967069
aircraft_family_PIPER PA-28 CHEROKEE,0.0465447262698123
aircraft_family_PIPER PA-31 NAVAJO,0.013742109468026323
aircraft_family_PIPER PA-32 CHEROKEE SIX,0.02715105605709902
aircraft_family_ROBINSON HELICOPTER COMPANY R44 II,-6.322529780464504e-05
aircraft_family_STINSON 108,-0.001502323864562925
aircraft_family_TAYLORCRAFT B,0.0005573605829603307
aircraft_family_TAYLORCRAFT F-19 SPORTSMAN,0.004748482442243196
aircraft_family_UNCOMMON FAMILY,0.06597098602744178
